Gw,YR,MN,TYP,CITY,CSIZk,CCLASS,REGION,REGIAB,COMPANY,GROUP,EC,ACTNAME,NSZZ,RZM,SN0,SN1,A1,A2,PPL,R1,R2,SITE,DR,CLAIMNAME,C1,C2,DI,TR,RS,VAN,VIO,INT,SOL
1,4,2,1,Wrocław,638,3,1,DS,Strabag,0,6,0,0,0,1,1,4,0,100,3,0,1,0,0,11,0,1,3,3,0,0,0,0
3,4,2,1,Wrocław,638,3,1,DS,Wrocław Babiński,0,17,0,0,0,1,1,2,0,200,3,0,1,0,0,10,0,2,3,2,0,0,0,0
1,4,2,1,Wrocław,638,3,1,DS,Cussons,0,3,S,1,0,1,1,2,0,100,3,0,1,1,0,5,6,1,3,3,0,0,0,0
1,4,2,1,Wrocław,638,3,1,DS,Telekomunikacja Polska,0,10,S,1,0,1,1,2,0,20,3,0,1,0,0,10,5,2,3,0,0,0,0,0
2,4,3,1,Białystok,297,3,10,PD,Fasty Andropol,0,3,0,0,0,1,1,4,6,,3,0,4,0,free director from arrest,99,0,2,4,1,0,0,0,1
1,4,3,1,Bytów,170,0,11,PM,Bytów ZBK,0,14,0,0,0,1,1,2,0,0,1,0,1,0,0,3,0,2,2,3,0,0,0,0
1,4,3,1,Głubczyce,13,0,8,OP,Głubczyce hospital,0,17,0,0,0,1,1,4,0,40,6,0,1,5,0,10,0,2,3,3,0,0,0,0
2,4,3,2,Kielce,198,3,13,SK,KGHM,0,2,0,0,0,1,1,2,0,,2,0,0,99,stop privatisation,8,4,2,3,0,0,0,0,0
1,4,3,1,Korczowa,1,0,9,PK,TIR,0,8,0,0,0,1,1,4,0,0,4,0,4,2,against clumsiness of Ukrainian border guards,99,0,1,4,0,0,0,0,0
1,4,3,1,Kraków,765,3,6,MP,99,99,99,0,0,0,1,1,5,0,10,3,0,3,0,office for organisation,99,0,1,2,3,0,0,0,0
1,4,3,1,Lubań,22,0,1,DS,Lubań hospital,0,17,0,0,0,1,1,4,6,0,3,0,3,0,0,10,11,2,2,3,0,0,0,0
2,4,3,1,Lubań,22,0,1,DS,Lubań hospital,0,17,0,0,0,1,1,4,0,70,6,0,3,6,0,10,11,2,2,2,0,0,0,0
3,4,3,1,Lublin,340,3,3,LL,Start Lublin,0,18,0,0,0,1,1,4,0,0,2,0,1,1,0,11,0,1,3,3,0,0,0,0
1,4,3,1,Łódź,697,3,5,LO,ŁKS Widzew,0,18,0,0,0,1,1,4,0,3,2,0,1,0,better accomodation,14,0,1,3,1,0,0,0,0
2,4,3,1,Opole,128,3,8,OP,Wojewódzkie Pogotowie Ratunkowe,0,17,0,0,0,1,1,2,0,0,1,0,1,5,0,8,0,2,2,0,0,0,0,0
1,4,3,1,Przeworsk,16,0,9,PK,Cukrownia Przeworsk,0,3,S,1,0,1,1,2,0,0,2,3,1,0,0,12,10,2,3,0,0,0,0,0
